,feature,importance
186,CENTRO PM2.5 (UG/M3)_lag_1,51
654,SURESTE 2 PM2.5 (UG/M3)_lag_1,21
342,SUROESTE PM2.5 (UG/M3)_lag_1,19
384,SUROESTE WSR (KMPH)_lag_1,17
420,NOROESTE 2 PM2.5 (UG/M3)_lag_1,14
190,CENTRO PM2.5 (UG/M3)_lag_5,11
501,NORTE PM2.5 (UG/M3)_lag_4,10
108,NORESTE PM2.5 (UG/M3)_lag_1,10
312,SUROESTE CO (PPM)_lag_1,10
395,NOROESTE 2 CO (PPM)_lag_6,10
810,SURESTE 3 PM2.5 (UG/M3)_lag_1,9
1440,CENTRO PM2.5 (UG/M3)_diff_lag_1,9
48,SURESTE RH (%)_lag_1,9
161,CENTRO CO (PPM)_lag_6,9
0,SURESTE CO (PPM)_lag_1,9
421,NOROESTE 2 PM2.5 (UG/M3)_lag_2,9
1362,NORESTE PM2.5 (UG/M3)_diff_lag_1,9
403,NOROESTE 2 NO2 (PPB)_lag_2,8
2,SURESTE CO (PPM)_lag_3,8
394,NOROESTE 2 CO (PPM)_lag_5,8
