,feature,importance
204,CENTRO PM2.5 (UG/M3)_lag_1,51
708,SURESTE 2 PM2.5 (UG/M3)_lag_1,19
414,SUROESTE WSR (KMPH)_lag_1,17
876,SURESTE 3 PM2.5 (UG/M3)_lag_1,15
420,NOROESTE 2 CO (PPM)_lag_1,15
207,CENTRO PM2.5 (UG/M3)_lag_4,12
498,NOROESTE 2 WSR (KMPH)_lag_1,12
1542,CENTRO PM2.5 (UG/M3)_diff_lag_1,12
419,SUROESTE WSR (KMPH)_lag_6,11
54,SURESTE RH (%)_lag_1,11
372,SUROESTE PM2.5 (UG/M3)_lag_1,11
1164,NORESTE 3 WSR (KMPH)_lag_1,11
120,NORESTE PM2.5 (UG/M3)_lag_1,10
1092,NORESTE 3 CO (PPM)_lag_1,10
456,NOROESTE 2 PM2.5 (UG/M3)_lag_1,10
1218,SUROESTE WDR (DEG)_cos_lag_1,10
1147,NORESTE 3 SO2 (PPB)_lag_2,10
246,CENTRO WSR (KMPH)_lag_1,9
205,CENTRO PM2.5 (UG/M3)_lag_2,8
413,SUROESTE TOUT (DEGC)_lag_6,8
