,feature,importance
36,CENTRO PM2.5 (UG/M3)_lag_1,105
54,CENTRO RH (%)_lag_1,71
78,CENTRO WSR (KMPH)_lag_1,61
72,CENTRO TOUT (DEGC)_lag_1,53
0,CENTRO CO (PPM)_lag_1,53
41,CENTRO PM2.5 (UG/M3)_lag_6,50
47,CENTRO PRS (MMHG)_lag_6,49
77,CENTRO TOUT (DEGC)_lag_6,46
42,CENTRO PRS (MMHG)_lag_1,43
43,CENTRO PRS (MMHG)_lag_2,42
138,CENTRO PRS (MMHG)_diff_lag_1,42
5,CENTRO CO (PPM)_lag_6,41
59,CENTRO RH (%)_lag_6,40
38,CENTRO PM2.5 (UG/M3)_lag_3,39
132,CENTRO PM2.5 (UG/M3)_diff_lag_1,38
73,CENTRO TOUT (DEGC)_lag_2,37
44,CENTRO PRS (MMHG)_lag_3,37
40,CENTRO PM2.5 (UG/M3)_lag_5,37
60,CENTRO SO2 (PPB)_lag_1,36
39,CENTRO PM2.5 (UG/M3)_lag_4,35
